Complaint_Text,Category,Urgency,Date_Submitted
Elevator in Room 402 is stuck frequently. terrible,Maintenance,High,2026-03-18
It is Ambulance took too long to arrive at Main Block.,Health,High,2026-04-02
I am facing an issue where LAN cable missing in the Hostel A.,IT,High,2026-04-13
Bicycles are being stolen from the parking lot. urgent,Security,High,2026-04-19
Librarian was unhelpful today.,Library,Low,2026-03-13
Water cooler on the Building C is broken.,Maintenance,Medium,2026-01-29
Unable to access the student portal from Main Block.,IT,Medium,2026-02-15
Library closes too early during exam week.,Library,Medium,2026-01-11
Printers not working in the Main Block.,IT,Low,2026-04-06
Not enough basketballs available.,Sports,Low,2026-01-08
Chairs are uncomfortable in the reading room. very annoying,Library,Medium,2026-02-19
Campus security personnel are rude to students.,Security,High,2026-03-01
Library closes too early during exam week. very annoying,Library,Low,2026-03-27
Projector in Hostel A is not turning on.,IT,Low,2026-01-11
Timetable is poorly managed with no breaks.,Academic,Medium,2026-02-08
Library closes too early during exam week.,Library,Medium,2026-02-07
Not enough elective courses offered this semester. needs fixing,Academic,High,2026-01-04
No basic medicines available in the dispensary.,Health,High,2026-04-19
Wi-Fi keeps disconnecting in Room 402. needs fixing,IT,High,2026-03-01
I am facing an issue where No vegetarian options available in the mess today. needs fixing,Mess,High,2026-03-14
I am facing an issue where Bicycles are being stolen from the parking lot.,Security,High,2026-01-29
Wi-Fi keeps disconnecting in Library Section.,IT,Medium,2026-03-11
I am facing an issue where Indoor stadium is kept locked on weekends.,Sports,Low,2026-01-29
Cutlery is frequently dirty. terrible,Mess,Medium,2026-03-01
It is Outsiders entering the campus without checking.,Security,Medium,2026-01-16
I am facing an issue where Parking lot lights are out. terrible,Security,High,2026-01-22
Need better first aid kits in the Lab 3.,Health,Medium,2026-01-15
Lights are constantly flickering in Room 402.,Maintenance,Low,2026-02-14
Parking lot lights are out. frustrating,Security,High,2026-02-14
Projector in Building C is not turning on. bad,IT,Medium,2026-02-14
Online journal access is revoked. frustrating,Library,Medium,2026-02-27
It is LAN cable missing in the Hostel A.,IT,Medium,2026-04-16
No basic medicines available in the dispensary.,Health,High,2026-02-04
Ambulance took too long to arrive at Library Section.,Health,Medium,2026-01-17
It is The internet in the Library Section is too slow for studying.,IT,High,2026-04-13
I am facing an issue where Floodlights at the football ground are not working. bad,Sports,Low,2026-03-25
This is Need more books on Machine Learning in the library.,Library,Medium,2026-03-30
Library closes too early during exam week.,Library,Medium,2026-04-02
CCTV cameras are not functional in 3rd floor.,Security,High,2026-03-20
Exam schedule is clashing with placement drives. terrible,Academic,Low,2026-03-16
Outsiders entering the campus without checking. urgent,Security,High,2026-01-05
Indoor stadium is kept locked on weekends. frustrating,Sports,Medium,2026-01-22
I am facing an issue where Cafeteria food gave several students food poisoning. bad,Mess,Medium,2026-02-08
This is Menu is repetitive and lacks nutrition. needs fixing,Mess,Medium,2026-03-10
Need better first aid kits in the Library Section.,Health,Medium,2026-02-17
It is Bicycles are being stolen from the parking lot.,Security,High,2026-02-07
I am facing an issue where Course curriculum needs updating for industry standards.,Academic,Medium,2026-01-26
Cafeteria food gave several students food poisoning.,Mess,Medium,2026-03-11
Window pane is broken in Building C.,Maintenance,High,2026-01-25
Software licenses expired on lab machines in Room 402.,IT,High,2026-03-07
Lights are constantly flickering in Library Section. very annoying,Maintenance,Medium,2026-02-21
Need more books on Machine Learning in the library.,Library,Medium,2026-03-03
This is Doctor was not available at the clinic near Hostel B.,Health,High,2026-01-18
This is Professor missed the scheduled lecture without notice. needs fixing,Academic,High,2026-01-17
Course curriculum needs updating for industry standards.,Academic,Medium,2026-02-09
This is Not enough elective courses offered this semester.,Academic,High,2026-02-21
Sports ground is too muddy to play. bad,Sports,Medium,2026-03-24
It is Bicycles are being stolen from the parking lot.,Security,Medium,2026-02-05
I am facing an issue where Printers not working in the Main Block.,IT,Low,2026-01-29
Parking lot lights are out.,Security,High,2026-02-04
I am facing an issue where Not enough elective courses offered this semester.,Academic,Medium,2026-01-15
Window pane is broken in Hostel B. frustrating,Maintenance,High,2026-04-16
No vegetarian options available in the mess today.,Mess,Medium,2026-01-13
This is Library closes too early during exam week. needs fixing,Library,Low,2026-01-23
Assignments are graded unfairly.,Academic,High,2026-01-12
Chairs are uncomfortable in the reading room.,Library,Medium,2026-03-19
It is Food is served cold during dinner time.,Mess,Medium,2026-04-03
Course curriculum needs updating for industry standards. needs fixing,Academic,High,2026-03-21
This is Need better first aid kits in the Hostel B.,Health,High,2026-03-18
It is Outsiders entering the campus without checking.,Security,High,2026-02-04
I am facing an issue where CCTV cameras are not functional in Main Block.,Security,High,2026-02-07
Cafeteria food gave several students food poisoning. very annoying,Mess,Medium,2026-02-15
Hygiene issues at the clinic close to Hostel A. terrible,Health,Medium,2026-01-14
I am facing an issue where Hygiene issues at the clinic close to Hostel A. very annoying,Health,High,2026-02-05
No vegetarian options available in the mess today.,Mess,High,2026-02-07
Ambulance took too long to arrive at Lab 3. very annoying,Health,High,2026-03-23
Course curriculum needs updating for industry standards. urgent,Academic,Medium,2026-01-29
Washrooms lack basic hygiene supplies in Hostel A.,Maintenance,Low,2026-03-31
Window pane is broken in Lab 3.,Maintenance,Medium,2026-03-02
Indoor stadium is kept locked on weekends.,Sports,Low,2026-02-10
Wi-Fi keeps disconnecting in Main Block.,IT,Medium,2026-02-04
It is Parking lot lights are out. very annoying,Security,High,2026-03-22
Need more books on Machine Learning in the library.,Library,Low,2026-04-13
Window pane is broken in Building C.,Maintenance,Medium,2026-01-17
There is a water leak in the Hostel A.,Maintenance,High,2026-03-27
Timetable is poorly managed with no breaks.,Academic,High,2026-04-03
Printers not working in the Main Block.,IT,Low,2026-03-30
Projector in 3rd floor is not turning on.,IT,High,2026-01-21
I am facing an issue where No vegetarian options available in the mess today. urgent,Mess,Medium,2026-01-16
I am facing an issue where No security guard present at the back gate.,Security,High,2026-01-05
Campus security personnel are rude to students. needs fixing,Security,High,2026-04-16
Librarian was unhelpful today.,Library,Medium,2026-01-03
Not enough quiet study spaces.,Library,Low,2026-03-12
This is Need better first aid kits in the Room 402. frustrating,Health,High,2026-04-19
Medical room is closed during night hours near Lab 3.,Health,High,2026-03-07
CCTV cameras are not functional in Lab 3.,Security,High,2026-03-25
It is Sports ground is too muddy to play. frustrating,Sports,Low,2026-01-09
CCTV cameras are not functional in Lab 3.,Security,Medium,2026-04-04
I am facing an issue where Not enough quiet study spaces.,Library,Medium,2026-04-17
It is No security guard present at the back gate. urgent,Security,High,2026-04-01
LAN cable missing in the Hostel B.,IT,High,2026-01-13
I am facing an issue where Menu is repetitive and lacks nutrition. very annoying,Mess,Medium,2026-04-01
Unable to access the student portal from 3rd floor.,IT,Medium,2026-02-15
Outsiders entering the campus without checking. bad,Security,High,2026-01-24
Wi-Fi keeps disconnecting in Hostel A.,IT,High,2026-01-17
Cafeteria food gave several students food poisoning.,Mess,High,2026-02-11
I am facing an issue where Bicycles are being stolen from the parking lot.,Security,High,2026-03-07
Lights are constantly flickering in Library Section.,Maintenance,Low,2026-04-19
I am facing an issue where Not enough elective courses offered this semester. needs fixing,Academic,High,2026-03-07
I am facing an issue where Campus security personnel are rude to students.,Security,High,2026-03-16
Ambulance took too long to arrive at Room 402. frustrating,Health,Medium,2026-04-03
I am facing an issue where Indoor stadium is kept locked on weekends. terrible,Sports,Low,2026-04-12
Food is served cold during dinner time. bad,Mess,High,2026-03-21
CCTV cameras are not functional in Main Block.,Security,Medium,2026-04-15
It is Not enough elective courses offered this semester.,Academic,High,2026-04-11
I am facing an issue where Not enough elective courses offered this semester. frustrating,Academic,High,2026-03-27
I am facing an issue where Medical room is closed during night hours near Room 402.,Health,High,2026-04-04
I am facing an issue where Cricket pitch needs to be rolled and cleaned.,Sports,Low,2026-03-04
This is Doctor was not available at the clinic near Room 402.,Health,High,2026-01-12
Menu is repetitive and lacks nutrition.,Mess,Medium,2026-02-12
Lights are constantly flickering in Main Block. bad,Maintenance,Medium,2026-02-25
I am facing an issue where Need more books on Machine Learning in the library.,Library,Medium,2026-02-04
No basic medicines available in the dispensary. urgent,Health,Medium,2026-01-28
This is Computers in the Library Section lab are not working. terrible,IT,Medium,2026-02-28
LAN cable missing in the Lab 3.,IT,High,2026-01-09
Cricket pitch needs to be rolled and cleaned. bad,Sports,Low,2026-03-09
Window pane is broken in Hostel A.,Maintenance,Medium,2026-03-18
I am facing an issue where Washrooms lack basic hygiene supplies in Hostel B. very annoying,Maintenance,High,2026-02-08
I am facing an issue where Elevator in Main Block is stuck frequently.,Maintenance,Medium,2026-01-05
I am facing an issue where Unable to access the student portal from Main Block.,IT,Medium,2026-03-14
It is Floodlights at the football ground are not working.,Sports,Medium,2026-03-24
No vegetarian options available in the mess today.,Mess,High,2026-01-23
Assignments are graded unfairly. terrible,Academic,Low,2026-02-03
Need more books on Machine Learning in the library.,Library,Medium,2026-02-07
I am facing an issue where Need better first aid kits in the Building C. urgent,Health,Medium,2026-02-25
It is Professor missed the scheduled lecture without notice.,Academic,Low,2026-03-23
Assignments are graded unfairly. needs fixing,Academic,Medium,2026-03-26
It is Projector in Library Section is not turning on.,IT,Medium,2026-03-09
I am facing an issue where Timetable is poorly managed with no breaks. very annoying,Academic,Medium,2026-03-08
It is Lights are constantly flickering in Hostel B.,Maintenance,Medium,2026-03-02
Hygiene issues at the clinic close to Room 402. very annoying,Health,High,2026-02-03
Cricket pitch needs to be rolled and cleaned.,Sports,Medium,2026-03-06
I am facing an issue where Washrooms lack basic hygiene supplies in Building C.,Maintenance,High,2026-02-01
Fan is making weird noises in Lab 3.,Maintenance,Medium,2026-03-13
I am facing an issue where Not enough elective courses offered this semester. needs fixing,Academic,Medium,2026-02-11
Not enough elective courses offered this semester. urgent,Academic,Low,2026-03-23
Hygiene issues at the clinic close to Hostel A.,Health,Medium,2026-03-02
I am facing an issue where Cutlery is frequently dirty.,Mess,Low,2026-04-05
I am facing an issue where Online journal access is revoked.,Library,Medium,2026-01-19
CCTV cameras are not functional in Main Block.,Security,Medium,2026-03-02
Projector in Library Section is not turning on. very annoying,IT,High,2026-02-20
Floodlights at the football ground are not working.,Sports,Medium,2026-02-02
Need better first aid kits in the Main Block. frustrating,Health,High,2026-01-23
Professor missed the scheduled lecture without notice. needs fixing,Academic,Medium,2026-03-31
Floodlights at the football ground are not working.,Sports,Low,2026-03-21
I am facing an issue where Water supply in mess area was disrupted. frustrating,Mess,High,2026-01-24
Need better first aid kits in the Lab 3. needs fixing,Health,High,2026-04-08
Doctor was not available at the clinic near 3rd floor.,Health,High,2026-03-06
Software licenses expired on lab machines in Lab 3. bad,IT,Low,2026-01-29
I am facing an issue where Lights are constantly flickering in Main Block. urgent,Maintenance,High,2026-02-19
I am facing an issue where Floodlights at the football ground are not working. frustrating,Sports,Medium,2026-03-07
I am facing an issue where Washrooms lack basic hygiene supplies in 3rd floor.,Maintenance,High,2026-03-17
This is Washrooms lack basic hygiene supplies in Hostel A.,Maintenance,Low,2026-03-13
Ambulance took too long to arrive at Building C.,Health,Medium,2026-02-22
Need better first aid kits in the Hostel B.,Health,High,2026-01-23
No vegetarian options available in the mess today.,Mess,Low,2026-01-21
This is The internet in the Lab 3 is too slow for studying. bad,IT,High,2026-02-04
Hygiene issues at the clinic close to Hostel B.,Health,High,2026-04-14
I am facing an issue where Food is served cold during dinner time. urgent,Mess,High,2026-02-28
Floodlights at the football ground are not working. very annoying,Sports,Medium,2026-03-31
This is Hostel AC is not cooling in Lab 3. Please fix ASAP.,Maintenance,Low,2026-01-04
This is Food is served cold during dinner time.,Mess,High,2026-03-26
I am facing an issue where Need better first aid kits in the 3rd floor.,Health,High,2026-04-18
Outsiders entering the campus without checking. terrible,Security,High,2026-02-28
I am facing an issue where Water cooler on the Library Section is broken. frustrating,Maintenance,Medium,2026-01-12
I am facing an issue where Doctor was not available at the clinic near Hostel A.,Health,High,2026-03-21
It is Menu is repetitive and lacks nutrition. urgent,Mess,High,2026-01-07
Librarian was unhelpful today. terrible,Library,Low,2026-03-21
Menu is repetitive and lacks nutrition.,Mess,High,2026-02-03
Food is served cold during dinner time.,Mess,High,2026-03-07
I am facing an issue where No basic medicines available in the dispensary.,Health,High,2026-01-24
Professor missed the scheduled lecture without notice.,Academic,Medium,2026-04-13
I am facing an issue where Hostel AC is not cooling in Room 402. Please fix ASAP.,Maintenance,Medium,2026-02-25
Printers not working in the Hostel B.,IT,Medium,2026-02-05
It is Exam schedule is clashing with placement drives. urgent,Academic,Medium,2026-02-12
I am facing an issue where Medical room is closed during night hours near Main Block.,Health,High,2026-02-28
There is a water leak in the Lab 3.,Maintenance,Medium,2026-03-04
No basic medicines available in the dispensary. very annoying,Health,High,2026-03-08
Medical room is closed during night hours near Hostel A.,Health,High,2026-01-23
I am facing an issue where Water supply in mess area was disrupted.,Mess,Medium,2026-04-05
No security guard present at the back gate.,Security,Medium,2026-02-08
I am facing an issue where Cutlery is frequently dirty.,Mess,Low,2026-03-29
Not enough quiet study spaces.,Library,Medium,2026-01-02
Online journal access is revoked. terrible,Library,Low,2026-02-27
This is Timetable is poorly managed with no breaks.,Academic,Medium,2026-03-23
I am facing an issue where Cutlery is frequently dirty.,Mess,High,2026-03-15
Not enough basketballs available. urgent,Sports,Low,2026-01-30
I am facing an issue where Washrooms lack basic hygiene supplies in 3rd floor.,Maintenance,High,2026-02-20
This is Need more books on Machine Learning in the library.,Library,Medium,2026-03-29
Gym equipment requires maintenance. very annoying,Sports,Medium,2026-02-18
I am facing an issue where No security guard present at the back gate. very annoying,Security,High,2026-04-18
Hostel AC is not cooling in Library Section. Please fix ASAP.,Maintenance,High,2026-01-02
Outsiders entering the campus without checking.,Security,Medium,2026-02-20
Food is served cold during dinner time.,Mess,High,2026-01-27
Washrooms lack basic hygiene supplies in Hostel A.,Maintenance,High,2026-03-03
It is Window pane is broken in Building C.,Maintenance,Medium,2026-04-12
Window pane is broken in Hostel B.,Maintenance,Medium,2026-02-18
Campus security personnel are rude to students. bad,Security,High,2026-01-25
I am facing an issue where Hostel AC is not cooling in Room 402. Please fix ASAP.,Maintenance,Medium,2026-02-23
Lights are constantly flickering in Main Block.,Maintenance,Medium,2026-04-15
I am facing an issue where No basic medicines available in the dispensary.,Health,High,2026-03-16
I am facing an issue where Exam schedule is clashing with placement drives.,Academic,High,2026-01-05
Outsiders entering the campus without checking. very annoying,Security,Medium,2026-01-20
No basic medicines available in the dispensary.,Health,High,2026-01-06
Indoor stadium is kept locked on weekends.,Sports,Low,2026-03-31
This is Outsiders entering the campus without checking. urgent,Security,Medium,2026-03-29
I am facing an issue where Indoor stadium is kept locked on weekends.,Sports,Low,2026-02-12
Chairs are uncomfortable in the reading room.,Library,Medium,2026-01-28
Librarian was unhelpful today.,Library,Low,2026-04-03
Cricket pitch needs to be rolled and cleaned.,Sports,Low,2026-04-04
This is Unable to access the student portal from Lab 3.,IT,High,2026-03-21
This is Medical room is closed during night hours near Room 402. bad,Health,High,2026-02-14
I am facing an issue where Water supply in mess area was disrupted. terrible,Mess,Medium,2026-01-17
Cafeteria food gave several students food poisoning.,Mess,High,2026-03-07
Need more books on Machine Learning in the library.,Library,Medium,2026-02-14
Not enough elective courses offered this semester. terrible,Academic,Low,2026-03-01
Printers not working in the 3rd floor.,IT,High,2026-03-03
I am facing an issue where Floodlights at the football ground are not working.,Sports,Medium,2026-04-07
Medical room is closed during night hours near Building C.,Health,High,2026-03-01
The internet in the Hostel A is too slow for studying. needs fixing,IT,Medium,2026-02-11
I am facing an issue where Not enough quiet study spaces.,Library,Low,2026-04-16
Gym equipment requires maintenance.,Sports,Medium,2026-02-10
LAN cable missing in the Main Block. urgent,IT,High,2026-01-23
Unable to access the student portal from Hostel A.,IT,High,2026-01-22
It is Parking lot lights are out.,Security,High,2026-02-02
Need better first aid kits in the Main Block.,Health,High,2026-02-14
Cricket pitch needs to be rolled and cleaned. bad,Sports,Low,2026-02-06
It is Campus security personnel are rude to students.,Security,High,2026-03-30
It is Floodlights at the football ground are not working.,Sports,Medium,2026-04-06
This is Ambulance took too long to arrive at Hostel A. needs fixing,Health,High,2026-01-27
It is Unable to access the student portal from Building C. urgent,IT,Medium,2026-04-01
It is Floodlights at the football ground are not working. bad,Sports,Medium,2026-02-15
Lights are constantly flickering in Building C.,Maintenance,Low,2026-02-16
I am facing an issue where Software licenses expired on lab machines in Room 402.,IT,Medium,2026-02-07
This is Indoor stadium is kept locked on weekends.,Sports,Low,2026-02-12
It is Assignments are graded unfairly. very annoying,Academic,Medium,2026-01-27
Not enough quiet study spaces.,Library,Low,2026-01-08
It is Exam schedule is clashing with placement drives. urgent,Academic,High,2026-03-16
Exam schedule is clashing with placement drives.,Academic,Low,2026-01-14
I am facing an issue where Hygiene issues at the clinic close to Lab 3.,Health,Medium,2026-01-13
I am facing an issue where Hostel AC is not cooling in Building C. Please fix ASAP. bad,Maintenance,Medium,2026-03-10
Floodlights at the football ground are not working.,Sports,Low,2026-02-23
Cutlery is frequently dirty. needs fixing,Mess,Medium,2026-03-22
I am facing an issue where Cafeteria food gave several students food poisoning.,Mess,High,2026-02-25
It is There is a water leak in the Hostel B. urgent,Maintenance,Medium,2026-01-04
Elevator in Lab 3 is stuck frequently. frustrating,Maintenance,High,2026-01-27
It is Not enough quiet study spaces. urgent,Library,Medium,2026-02-27
This is Course curriculum needs updating for industry standards.,Academic,High,2026-03-21
I am facing an issue where Floodlights at the football ground are not working. terrible,Sports,Low,2026-01-24
Cricket pitch needs to be rolled and cleaned.,Sports,Medium,2026-03-25
It is Elevator in 3rd floor is stuck frequently. very annoying,Maintenance,Low,2026-03-02
This is Library closes too early during exam week. terrible,Library,Medium,2026-03-02
Gym equipment requires maintenance.,Sports,Medium,2026-01-17
It is Cricket pitch needs to be rolled and cleaned.,Sports,Low,2026-03-06
Not enough quiet study spaces.,Library,Medium,2026-03-13
This is Software licenses expired on lab machines in Building C.,IT,High,2026-04-08
Menu is repetitive and lacks nutrition.,Mess,Low,2026-01-01
I am facing an issue where Fan is making weird noises in Library Section.,Maintenance,Low,2026-03-16
This is No vegetarian options available in the mess today. terrible,Mess,Medium,2026-03-19
Gym equipment requires maintenance. needs fixing,Sports,Medium,2026-04-02
I am facing an issue where Library closes too early during exam week.,Library,Low,2026-01-07
Need better first aid kits in the Lab 3.,Health,High,2026-04-14
I am facing an issue where Bicycles are being stolen from the parking lot.,Security,High,2026-03-24
It is Professor missed the scheduled lecture without notice.,Academic,High,2026-01-02
It is Not enough basketballs available.,Sports,Low,2026-03-18
Food is served cold during dinner time. frustrating,Mess,High,2026-01-14
Sports ground is too muddy to play.,Sports,Medium,2026-04-18
I am facing an issue where Chairs are uncomfortable in the reading room.,Library,Medium,2026-02-09
Outsiders entering the campus without checking.,Security,High,2026-02-05
It is Not enough basketballs available. terrible,Sports,Low,2026-03-04
I am facing an issue where Cafeteria food gave several students food poisoning.,Mess,Medium,2026-04-06
Not enough basketballs available. terrible,Sports,Low,2026-02-08
I am facing an issue where Ambulance took too long to arrive at Building C. terrible,Health,High,2026-02-19
Window pane is broken in Library Section.,Maintenance,High,2026-02-14
I am facing an issue where Sports ground is too muddy to play.,Sports,Low,2026-01-14
This is Outsiders entering the campus without checking.,Security,Medium,2026-03-27
This is Not enough quiet study spaces.,Library,Low,2026-01-08
I am facing an issue where CCTV cameras are not functional in 3rd floor. very annoying,Security,High,2026-03-10
Cricket pitch needs to be rolled and cleaned. frustrating,Sports,Low,2026-03-27
This is Timetable is poorly managed with no breaks.,Academic,High,2026-02-02
I am facing an issue where Parking lot lights are out. urgent,Security,High,2026-03-13
Timetable is poorly managed with no breaks. urgent,Academic,Medium,2026-01-08
Window pane is broken in Building C.,Maintenance,Medium,2026-03-17
This is Elevator in Room 402 is stuck frequently. urgent,Maintenance,Medium,2026-02-12
Water cooler on the Library Section is broken.,Maintenance,Medium,2026-03-11
Not enough basketballs available.,Sports,Medium,2026-01-29
Computers in the Building C lab are not working.,IT,High,2026-03-15
Chairs are uncomfortable in the reading room.,Library,Low,2026-04-19
Cutlery is frequently dirty.,Mess,Medium,2026-04-05
Printers not working in the Lab 3.,IT,Low,2026-03-20
Washrooms lack basic hygiene supplies in Library Section. very annoying,Maintenance,Medium,2026-02-03
I am facing an issue where Elevator in 3rd floor is stuck frequently. needs fixing,Maintenance,High,2026-03-18
Fan is making weird noises in Hostel A.,Maintenance,Low,2026-01-16
Elevator in 3rd floor is stuck frequently.,Maintenance,Medium,2026-01-26
Hygiene issues at the clinic close to Hostel A.,Health,High,2026-02-28
It is Campus security personnel are rude to students.,Security,Medium,2026-04-12
Projector in Library Section is not turning on.,IT,Medium,2026-01-28
I am facing an issue where Course curriculum needs updating for industry standards. needs fixing,Academic,Medium,2026-04-07
Chairs are uncomfortable in the reading room. needs fixing,Library,Medium,2026-03-17
This is Window pane is broken in 3rd floor. frustrating,Maintenance,Medium,2026-02-17
Bicycles are being stolen from the parking lot.,Security,High,2026-01-03
Chairs are uncomfortable in the reading room.,Library,Medium,2026-02-28
This is Washrooms lack basic hygiene supplies in Hostel A.,Maintenance,Medium,2026-02-05
LAN cable missing in the Main Block.,IT,High,2026-04-16
Library closes too early during exam week.,Library,Medium,2026-04-01
I am facing an issue where Menu is repetitive and lacks nutrition. terrible,Mess,Low,2026-03-03
CCTV cameras are not functional in Lab 3.,Security,High,2026-03-10
Water supply in mess area was disrupted. terrible,Mess,Medium,2026-03-25
Cafeteria food gave several students food poisoning.,Mess,High,2026-02-01
I am facing an issue where The internet in the Hostel A is too slow for studying.,IT,Medium,2026-02-16
It is Indoor stadium is kept locked on weekends. terrible,Sports,Medium,2026-01-03
I am facing an issue where Gym equipment requires maintenance. bad,Sports,Medium,2026-04-14
No security guard present at the back gate.,Security,High,2026-03-13
I am facing an issue where Online journal access is revoked.,Library,Low,2026-03-14
Cricket pitch needs to be rolled and cleaned.,Sports,Medium,2026-01-24
This is Computers in the Main Block lab are not working.,IT,High,2026-02-11
Need more books on Machine Learning in the library. frustrating,Library,Medium,2026-01-06
It is Medical room is closed during night hours near Building C.,Health,Medium,2026-02-03
Bicycles are being stolen from the parking lot. terrible,Security,Medium,2026-04-07
Course curriculum needs updating for industry standards.,Academic,High,2026-01-14
I am facing an issue where Wi-Fi keeps disconnecting in Hostel A.,IT,Medium,2026-04-08
There is a water leak in the Lab 3. frustrating,Maintenance,Medium,2026-01-06
Floodlights at the football ground are not working.,Sports,Medium,2026-04-15
Washrooms lack basic hygiene supplies in Building C. urgent,Maintenance,Medium,2026-02-18
Outsiders entering the campus without checking.,Security,High,2026-02-09
This is Assignments are graded unfairly. bad,Academic,Medium,2026-01-03
Need more books on Machine Learning in the library. frustrating,Library,Medium,2026-02-15
Online journal access is revoked.,Library,Medium,2026-04-04
I am facing an issue where Course curriculum needs updating for industry standards.,Academic,Low,2026-03-22
Librarian was unhelpful today.,Library,Medium,2026-04-05
This is Cutlery is frequently dirty.,Mess,High,2026-03-11
I am facing an issue where Professor missed the scheduled lecture without notice.,Academic,Low,2026-02-14
Library closes too early during exam week.,Library,Medium,2026-01-02
I am facing an issue where Need more books on Machine Learning in the library.,Library,Low,2026-03-19
It is Professor missed the scheduled lecture without notice. needs fixing,Academic,Medium,2026-01-20
Wi-Fi keeps disconnecting in Hostel A.,IT,Low,2026-01-23
This is Floodlights at the football ground are not working.,Sports,Medium,2026-03-31
I am facing an issue where Bicycles are being stolen from the parking lot. very annoying,Security,High,2026-02-17
No basic medicines available in the dispensary.,Health,Medium,2026-04-03
CCTV cameras are not functional in 3rd floor.,Security,High,2026-03-15
Bicycles are being stolen from the parking lot.,Security,High,2026-02-26
It is Water supply in mess area was disrupted.,Mess,Medium,2026-03-18
It is There is a water leak in the Library Section.,Maintenance,Low,2026-03-28
Cafeteria food gave several students food poisoning. frustrating,Mess,Low,2026-01-15
Professor missed the scheduled lecture without notice.,Academic,High,2026-02-28
Course curriculum needs updating for industry standards.,Academic,High,2026-02-09
I am facing an issue where Hygiene issues at the clinic close to Hostel A.,Health,High,2026-01-01
It is Software licenses expired on lab machines in Hostel A.,IT,Medium,2026-04-18
Hygiene issues at the clinic close to Lab 3.,Health,High,2026-03-14
Water cooler on the 3rd floor is broken. needs fixing,Maintenance,Medium,2026-03-20
Chairs are uncomfortable in the reading room.,Library,Low,2026-03-12
I am facing an issue where The internet in the Hostel B is too slow for studying. urgent,IT,Medium,2026-04-12
Floodlights at the football ground are not working.,Sports,Medium,2026-04-03
I am facing an issue where Medical room is closed during night hours near Hostel A.,Health,High,2026-01-21
Lights are constantly flickering in Lab 3.,Maintenance,High,2026-01-15
It is Not enough quiet study spaces. very annoying,Library,Medium,2026-04-08
It is Outsiders entering the campus without checking.,Security,High,2026-01-28
Indoor stadium is kept locked on weekends.,Sports,Low,2026-03-24
Need more books on Machine Learning in the library.,Library,Low,2026-02-09
This is Not enough quiet study spaces. bad,Library,Medium,2026-01-21
I am facing an issue where Parking lot lights are out.,Security,High,2026-03-14
This is Cutlery is frequently dirty. frustrating,Mess,Medium,2026-04-17
Food is served cold during dinner time.,Mess,High,2026-02-14
Hostel AC is not cooling in Library Section. Please fix ASAP.,Maintenance,High,2026-03-12
Elevator in Hostel B is stuck frequently. urgent,Maintenance,Medium,2026-02-06
No security guard present at the back gate.,Security,High,2026-03-25
I am facing an issue where Cricket pitch needs to be rolled and cleaned.,Sports,Low,2026-03-14
This is Exam schedule is clashing with placement drives.,Academic,High,2026-02-06
I am facing an issue where No vegetarian options available in the mess today.,Mess,High,2026-02-01
Medical room is closed during night hours near Hostel A.,Health,High,2026-04-02
Hygiene issues at the clinic close to Room 402. frustrating,Health,Medium,2026-04-13
This is Not enough elective courses offered this semester.,Academic,Low,2026-03-04
Chairs are uncomfortable in the reading room.,Library,Medium,2026-02-09
I am facing an issue where There is a water leak in the Hostel B. urgent,Maintenance,Low,2026-01-09
Hygiene issues at the clinic close to Library Section.,Health,High,2026-04-09
Assignments are graded unfairly.,Academic,High,2026-02-03
CCTV cameras are not functional in Building C.,Security,High,2026-01-10
Cafeteria food gave several students food poisoning.,Mess,Medium,2026-02-06
Sports ground is too muddy to play.,Sports,Medium,2026-03-06
This is Elevator in Lab 3 is stuck frequently.,Maintenance,Low,2026-04-05
Cafeteria food gave several students food poisoning.,Mess,Medium,2026-01-26
Chairs are uncomfortable in the reading room. bad,Library,Medium,2026-01-12
This is Online journal access is revoked.,Library,Low,2026-01-12
Lights are constantly flickering in Main Block.,Maintenance,Medium,2026-01-10
Computers in the Lab 3 lab are not working. frustrating,IT,High,2026-01-08
Cutlery is frequently dirty. terrible,Mess,Medium,2026-01-10
I am facing an issue where Timetable is poorly managed with no breaks. very annoying,Academic,Medium,2026-01-07
Indoor stadium is kept locked on weekends. frustrating,Sports,Medium,2026-01-03
This is Assignments are graded unfairly.,Academic,Medium,2026-02-01
It is Food is served cold during dinner time. bad,Mess,Medium,2026-04-14
I am facing an issue where Not enough basketballs available. frustrating,Sports,Low,2026-04-05
Hostel AC is not cooling in Library Section. Please fix ASAP. needs fixing,Maintenance,High,2026-01-29
Not enough basketballs available.,Sports,Low,2026-02-21
Bicycles are being stolen from the parking lot. urgent,Security,High,2026-04-10
Gym equipment requires maintenance.,Sports,Medium,2026-02-27
Ambulance took too long to arrive at Library Section. urgent,Health,High,2026-01-30
Not enough basketballs available. frustrating,Sports,Medium,2026-01-18
No basic medicines available in the dispensary.,Health,High,2026-02-06
There is a water leak in the Building C.,Maintenance,High,2026-02-25
I am facing an issue where Food is served cold during dinner time.,Mess,Medium,2026-02-01
Cricket pitch needs to be rolled and cleaned.,Sports,Medium,2026-02-08
Unable to access the student portal from Lab 3.,IT,Medium,2026-03-03
I am facing an issue where Indoor stadium is kept locked on weekends.,Sports,Medium,2026-01-29
Campus security personnel are rude to students. frustrating,Security,High,2026-04-10
